Sede,Concepto,Profesional Historia,Ingresos,Atenciones,Uds
CDMX,CARGO ERRADO,Jairo Hernando Pedraza Pinto,0.0,2,10
CDMX,"CICLO CANCELADO, NO SE DIO SERVICIO",Eugenia Morán Orozco,0.0,1,1
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),Armando Miguel Roque Sanchez,6102.0,3,6
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),Eugenia Morán Orozco,233910.0,158,231
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),Giovanni López Salamanca,60958.98,39,60
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),Jaime Antonio Hidalgo Carrera,31527.0,12,31
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),Jairo Hernando Pedraza Pinto,39663.0,33,39
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),Ruben Gonzalez Ruiz,15255.0,10,15
CDMX,Capacitación espermática,Carlos Parra,0.0,2,0
CDMX,Capacitación espermática,Mayella Fernández del Campo,1508.62,1,1
CDMX,Captura + Fertilización + VItrificación (Embryo Freezing) CDMX,Gerardo Armando Paladino Barquera,55818.97,2,2
CDMX,Captura + Fertilización + VItrificación (Embryo Freezing) CDMX,María de los Ángeles Flores Manzur,29138.46,1,1
CDMX,Captura + Vitrificación (Egg Freezing) CDMX,Griselda Reyes Torres,22015.6,1,1
CDMX,Captura + Vitrificación (Egg Freezing) CDMX,María de los Ángeles Flores Manzur,25862.07,1,1
CDMX,Captura + fertilización CDMX,Alejandro Sanchez Aranda,21250.0,1,1
CDMX,Captura + fertilización CDMX,Gisela Cuevas Velasco,21250.0,1,1
CDMX,Captura + fertilización CDMX,Magdalena Cruz Luna,12235.0,1,1
CDMX,Captura + fertilización CDMX,Miguel Ángel Martínez Enríquez,21250.0,1,1
CDMX,Captura CDMX,Gerardo Armando Paladino Barquera,9482.76,1,1
CDMX,Captura ovular y vitrificación - CDMX,Armando Miguel Roque Sanchez,58189.66,1,1
CDMX,Captura ovular y vitrificación - CDMX,Eugenia Morán Orozco,864224.17,13,13
CDMX,Captura ovular y vitrificación - CDMX,Giovanni López Salamanca,488146.57,7,7
CDMX,Captura ovular y vitrificación - CDMX,Jaime Antonio Hidalgo Carrera,262715.52,4,4
CDMX,Captura ovular y vitrificación - CDMX,Jairo Hernando Pedraza Pinto,58189.66,1,1
CDMX,Captura ovular y vitrificación - CDMX,Monica Olavarria,140086.21,2,2
CDMX,Captura ovular y vitrificación - CDMX,Ruben Gonzalez Ruiz,418318.99,9,7
CDMX,Cargos administrativos,Alejandro Kava Braveman,6034.48,1,1
CDMX,Cargos administrativos,Aline Yunuen García Cortes,405.17,1,1
CDMX,Cargos administrativos,Claudia Melina Robellada Zarate,0.0,1,1
CDMX,Cargos administrativos,Fatima Giron Ávila,1724.14,1,1
CDMX,Cargos administrativos,Gisela Cuevas Velasco,2586.21,1,1
CDMX,Cargos administrativos,LORENA CHRISSIE OCEGUERA PALAO,12931.1,1,1
CDMX,Cariotipo en sangre periférica,Enfermeria,7887.93,1,1
CDMX,Cariotipo en sangre periférica,Eugenia Morán Orozco,7887.93,1,1
CDMX,Cariotipo pareja,Giovanni López Salamanca,7758.62,1,1
CDMX,Ceftriaxona,Jose Juan Guerrero Vargas,300.0,1,1
CDMX,Cesárea 2 noches,Armando Miguel Roque Sanchez,66810.34,1,1
CDMX,Cetrotide 0.25mg,Alejandro Sanchez Aranda,28056.0,10,21
CDMX,Cetrotide 0.25mg,Alma Victoria Villarreal Barranca,112918.72,38,92
CDMX,Cetrotide 0.25mg,Armando Miguel Roque Sanchez,278903.36,94,212
CDMX,Cetrotide 0.25mg,Carlos Andres Lejtik Alva,8016.0,3,6
CDMX,Cetrotide 0.25mg,Carlos Parra,4809.6,2,4
CDMX,Cetrotide 0.25mg,Claudia Melina Robellada Zarate,4008.0,3,3
CDMX,Cetrotide 0.25mg,Eugenia Morán Orozco,533922.72,184,402
CDMX,Cetrotide 0.25mg,Giovanni López Salamanca,320390.24,111,249
CDMX,Cetrotide 0.25mg,Jaime Antonio Hidalgo Carrera,196194.56,72,148
CDMX,Cetrotide 0.25mg,Jairo Hernando Pedraza Pinto,323204.0,99,250
CDMX,Cetrotide 0.25mg,José Manuel Lozano Sánchez,4008.0,1,3
CDMX,Cetrotide 0.25mg,María Elena González Panzzi,8016.0,2,6
CDMX,Cetrotide 0.25mg,Mayela Fernandez del Campo (MEFI),4008.0,1,3
CDMX,Cetrotide 0.25mg,Miranda Lucía Morán Morales,17368.0,7,13
CDMX,Cetrotide 0.25mg,Monica Olavarria,37408.0,15,29
CDMX,Cetrotide 0.25mg,Monica Yazmin Olavarria Guadarrama,4008.0,2,3
CDMX,Cetrotide 0.25mg,Norma Sharey Vazquez Jimenez,9352.0,3,7
CDMX,Cetrotide 0.25mg,Ruben Gonzalez Ruiz,174017.04,65,131
