Sede,Concepto,MesNum,Ingresos,Atenciones,Uds
CDMX,PREDNISONA 20 MG C/30 TAB (METICORTEN) ASPEN,2,0.0,0,0
CDMX,PREDNISONA 20 MG C/30 TAB (METICORTEN) ASPEN,3,0.0,0,0
CDMX,PREDNISONA 20 MG C/30 TAB (METICORTEN) ASPEN,4,0.0,0,0
CDMX,PREDNISONA 20 MG C/30 TAB (METICORTEN) ASPEN,5,0.0,0,0
CDMX,PREDNISONA 20 MG C/30 TAB (METICORTEN) ASPEN,6,750.0,1,1
CDMX,PREDNISONA 20 MG C/30 TAB (METICORTEN) ASPEN,7,1500.0,2,2
CDMX,PREDNISONA 20 MG C/30 TAB (METICORTEN) ASPEN,8,0.0,1,1
CDMX,PRIMOGYN 2 MG C/28 GRAG,1,0.0,0,0
CDMX,PRIMOGYN 2 MG C/28 GRAG,2,100760.0,39,105
CDMX,PRIMOGYN 2 MG C/28 GRAG,3,304560.0,115,308
CDMX,PRIMOGYN 2 MG C/28 GRAG,4,188940.0,74,192
