Sede,Servicio,Subclas,Subclas2,Concepto,Ago,Jul
total,Imágenes,,,Histerosonografía,6034.48,6034.48
total,Imágenes,,,Ultrasonido,43232.63999999999,79569.64000000004
total,Laboratorio,Laboratorio Clínico,Criopreservación y Andrología,Espermocultivo,3275.88,4094.8500000000004
total,Laboratorio,Laboratorio Clínico,Cultivos y Orina,Cultivo de Exudado Vaginal,3922.3800000000006,7284.420000000001
total,Laboratorio,Laboratorio Clínico,Cultivos y Orina,Cultivo de orina,474.14,0.0
total,Laboratorio,Laboratorio Clínico,Cultivos y Orina,Panel de drogas en orina (III),1594.83,1594.83
total,Laboratorio,Laboratorio Clínico,Cultivos y Orina,Urocultivo,3275.88,1637.94
total,Laboratorio,Laboratorio Clínico,Genética y Cariotipos,Cariotipo en sangre periférica,7887.93,0.0
total,Laboratorio,Laboratorio Clínico,Ginecología y ETS,Papanicolaou,16508.63,16800.11
total,Laboratorio,Laboratorio Clínico,Ginecología y ETS,Perfil ETS,192827.62000000005,172819.03000000003
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Acido úrico,0.0,118.1
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Androstenediona,0.0,387.93
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Antimulleriana AMH (Nanogramos),37931.08,17137.95
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",BUN,0.0,86.21
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Biometria Hemática Pack,775.86,1140.5900000000001
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",CA 125,560.34,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Citomegalovirus IgG,536.21,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Citomegalovirus IgM,536.21,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Creatinina,90.0,180.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Cultivo de anaerobios,560.34,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Cultivo de secreción,560.34,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Cultivos infecciosos masculinos,4310.34,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Estradiol,3129.3,5737.05
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Estudio Homosisteina,0.0,2000.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Examen general de orina,698.28,1629.32
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",FSH,1163.79,3051.7200000000003
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles","FSH, LH, Estradiol",0.0,1379.31
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Ferritina,0.0,722.42
