Sede,Servicio,Concepto,Valor,VsLM
total,Laboratorio,Insulina basal,8928.48,-42.0
total,Laboratorio,Prolactina,8534.46,-8.0
total,Laboratorio,Cariotipo en sangre periférica,7887.93,
total,Laboratorio,Paquete Hormonas Basales,7758.63,-75.0
total,Laboratorio,Química Sanguínea 28 elementos,7239.67,-41.0
total,Laboratorio,Biopsia de endometrio,6206.88,300.0
total,Laboratorio,Perfil TORCH IgG e IgM,6034.48,0.0
total,Laboratorio,Hormona Luteinizante (LH),5215.5,-23.0
total,Laboratorio,Perfil de lípidos,5035.35,-3.0
total,Laboratorio,Panel de detección de 10 ETS,4741.38,
total,Laboratorio,Progesterona,4655.16,9.0
total,Laboratorio,TSH,4616.37,-30.0
total,Laboratorio,Cultivos infecciosos masculinos,4310.34,
total,Laboratorio,Marcadores tumorales ovario,4137.93,
total,Laboratorio,Cultivo de Exudado Vaginal,3922.38,-46.0
total,Laboratorio,Perfil preparación endometrial,3824.0,700.0
total,Laboratorio,Perfil tiroideo sin anticuerpos,3586.2,100.0
total,Laboratorio,Perfil pre operatorio CDMX,3448.24,14.0
total,Laboratorio,Espermocultivo,3275.88,-20.0
total,Laboratorio,Urocultivo,3275.88,100.0
total,Laboratorio,Estradiol,3129.3,-45.0
total,Laboratorio,patología,3103.44,
total,Laboratorio,[EX] Espermatobioscopía,2586.2,100.0
total,Laboratorio,Hemoglobina glicosilada,2370.7,-71.0
total,Laboratorio,Subunidad beta cuantitativa,2370.7,-29.0
total,Laboratorio,Perfil androgenico femenino,2155.17,-50.0
total,Laboratorio,Glucosa,1991.43,-42.0
total,Laboratorio,Perfil inicio,1985.18,
total,Laboratorio,Hepatitis C,1637.94,
total,Laboratorio,Panel de drogas en orina (III),1594.83,0.0
total,Laboratorio,Perfil disparo captura,1434.0,-45.0
total,Laboratorio,Testosterona biodisponible,1379.31,
total,Laboratorio,Tiempos de Coagulación,1357.76,-25.0
total,Laboratorio,Testosterona Total,1353.45,
total,Laboratorio,Perfil bioquímico de 24 elementos,1185.34,0.0
total,Laboratorio,FSH,1163.79,-62.0
total,Laboratorio,Perfil preoperatorio básico,1120.69,
total,Laboratorio,Testosterona Libre,1077.59,
total,Laboratorio,"Ac. Anti TPO (Tiroperoxidasa, Microsomales)",1060.19,
total,Laboratorio,Perfil seguimiento folicular,956.0,-71.0
total,Laboratorio,Hepatitis B superficie HBsAg,862.07,0.0
total,Laboratorio,Perfil pre operatorios,862.06,33.0
total,Laboratorio,T4 - Libre,827.58,-53.0
total,Laboratorio,Testosterona Total y Testosterona Libre,818.97,-67.0
total,Laboratorio,Vitamina B-12,810.34,-19.0
total,Laboratorio,Biometria Hemática Pack,775.86,-32.0
total,Laboratorio,VDRL,775.86,
total,Laboratorio,Examen general de orina,698.28,-57.0
total,Laboratorio,Hepatitis B HBeAg,646.55,
total,Laboratorio,Grupo Sanguíneo RH,637.94,0.0
total,Laboratorio,Globulina Transportadora de Hormonas sexuales ( SHBG),586.2,0.0
total,Laboratorio,Perfil Hepatico,566.38,-10.0
total,Laboratorio,CA 125,560.34,
total,Laboratorio,Cultivo de anaerobios,560.34,
total,Laboratorio,Cultivo de secreción,560.34,
total,Laboratorio,Citomegalovirus IgG,536.21,
total,Laboratorio,Citomegalovirus IgM,536.21,
total,Laboratorio,Química Sanguínea 6 elementos,504.31,-23.0
total,Laboratorio,Perfil pre transferencia,478.0,0.0
total,Laboratorio,Cultivo de orina,474.14,
total,Laboratorio,Creatinina,90.0,-50.0
total,Laboratorio,Acido úrico,0.0,-100.0
total,Laboratorio,Androstenediona,0.0,-100.0
total,Laboratorio,BUN,0.0,-100.0
total,Laboratorio,DHA-S (DHEA-SO4),0.0,-100.0
total,Laboratorio,Estudio Homosisteina,0.0,-100.0
total,Laboratorio,"FSH, LH, Estradiol",0.0,-100.0
total,Laboratorio,Ferritina,0.0,-100.0
total,Laboratorio,Folatos,0.0,-100.0
total,Laboratorio,Idice HOMA,0.0,-100.0
